species,order,body_mass_kg,adult_life_expectancy_years,exposure_proxy,cmr,icm,naive_risk,suppression_index,n_postmortem,n_neoplasia
Tragelaphus imberbis,Artiodactyla,72.7,6.724024640657084,488.83659137577,0.0526,0.0693,0.1735214682851477,0.7164785946806363,38,2
Tragelaphus oryx,Artiodactyla,373.02,8.470937713894592,3159.829186036961,0.0147,0.0068,0.7082662340005779,0.9879787713863757,136,2
Tragelaphus strepsiceros,Artiodactyla,193.46,6.92249144421629,1339.2251947980835,0.0336,0.0321,0.40673846056767804,0.934540994003737,119,4
Tupaia belangeri,Scandentia,0.19,4.802354551676934,0.9124473648186174,0.125,0.0963,0.00035567000356151457,-374.36942481595275,24,3
Ursus arctos,Carnivora,265.55,19.047720739219713,5058.122242299795,0.1,0.0667,0.8608211926659777,0.9465716325286815,40,4
Ursus maritimus,Carnivora,344.76,21.021902806297057,7247.511211498973,0.0455,0.0489,0.9407249417113633,0.9835191869952827,22,1
Varecia rubra,Primates,3.75,17.636632443531827,66.13737166324435,0.1852,0.1565,0.025455200900497132,-6.943155512985507,54,10
Varecia variegata,Primates,3.81,15.725037645448323,59.91239342915811,0.0659,0.0742,0.02308719155533223,-1.91857798843195,91,6
Vulpes zerda,Carnivora,1.36,9.4505954825462,12.852809856262834,0.1429,0.1481,0.004998355007755584,-29.773121180958388,42,6
Zalophus californianus,Carnivora,141.85,16.193347022587268,2297.026275154004,0.0889,0.1491,0.5916109995658474,0.896036888424713,45,4
