Species,Order,Female body mass (kg),Male body mass (kg),Species body mass (kg),Female sexual maturity (days),Male sexual maturity (days),Species sexual maturity (days),Source of sexual maturity,CMR,ICM,Adult life expectancy,Diet (Animal),Diet (Invertebrate),Diet (Vertebrate),Diet (Fish),Diet (Reptile),Diet (Bird),Diet (Mammals),No.individuals,No.dead individuals,No. neoplasia cases,No. individuals with available postmortem pathological records
Kobus_megaceros,Artiodactyla,66.91,85.62,76.27,714,747,,ZIMS,0.1231,0.1866,2981.97,0,0,0,0,0,0,0,500,241,8,65
Lagurus_lagurus,Rodentia,0.02,0.02,0.02,39,45,,ZIMS,0.0500,0.0493,402.17,0,0,0,0,0,0,0,42,37,1,20
Lemur_catta,Primates,2.78,2.95,2.87,650,934,935,ZIMS,0.0677,0.1326,5396.88,0,0,0,0,0,0,0,3668,989,17,251
Leontopithecus_chrysomelas,Primates,0.74,0.76,0.75,633,747,,ZIMS,0.0702,0.0293,3777.11,1,1,1,0,1,0,0,522,220,4,57
Leontopithecus_rosalia,Primates,0.67,0.69,0.68,615,747,,ZIMS,0.0000,0.0000,3919.97,1,1,1,0,1,0,0,705,297,0,78
Leopardus_pardalis,Carnivora,9.78,11.92,10.85,636,614,,ZIMS,0.1935,0.1559,5783.08,1,0,1,1,1,1,1,229,90,6,31
Leptailurus_serval,Carnivora,10.46,13.36,11.91,838,,,ZIMS,0.0980,0.1586,4402.02,1,0,1,0,0,0,1,400,150,5,51
Litocranius_walleri,Artiodactyla,23.88,27.32,25.60,368,,,ZIMS,0.0357,0.0838,1757.56,0,0,0,0,0,0,0,181,121,1,28
Lontra_canadensis,Carnivora,7.64,9.09,8.37,810,747,374,ZIMS,0.1364,0.1199,4481.42,1,1,1,1,0,0,0,214,83,3,22
Lutra_lutra,Carnivora,5.69,7.64,6.66,514,561,,ZIMS,0.0000,0.0000,3164.10,1,0,1,1,0,0,0,243,112,0,27
Lycaon_pictus,Carnivora,26.97,31.24,29.10,687,654,,ZIMS,0.1409,0.1566,2649.61,1,0,1,0,0,0,1,952,505,21,149
Lynx_lynx,Carnivora,17.92,23.09,20.50,618,1028,,ZIMS,0.0882,0.0392,4925.26,1,0,1,0,0,1,1,502,178,3,34
Macaca_fascicularis,Primates,7.74,6.14,6.94,1290,1581,374,ZIMS,0.0357,0.0409,4822.26,1,1,0,0,0,0,0,265,106,1,28
Macaca_fuscata,Primates,10.67,13.18,11.93,1567,1402,374,ZIMS,0.0833,0.0640,6508.84,1,1,1,0,0,0,0,833,247,6,72
Macaca_nigra,Primates,7.79,12.11,9.95,1637,,,ZIMS,0.0000,0.0000,4607.74,1,1,0,0,0,0,0,286,108,0,24
Macaca_silenus,Primates,6.65,11.02,8.83,1511,2571,,ZIMS,0.0667,0.0321,5794.96,1,1,0,0,0,0,0,447,165,2,30
Macaca_sylvanus,Primates,12.61,12.73,12.67,1462,2055,374,ZIMS,0.0000,,4835.50,0,0,0,0,0,0,0,420,114,0,33
Macropus_giganteus,Diprotodontia,29.07,46.99,38.03,654,1321,,ZIMS,0.1200,0.2618,3315.54,0,0,0,0,0,0,0,230,92,3,25
Macropus_parma,Diprotodontia,4.01,4.75,4.38,434,635,,ZIMS,0.0000,0.0000,1477.29,0,0,0,0,0,0,0,394,284,0,83
Macropus_rufogriseus,Diprotodontia,11.40,15.67,13.53,404,623,,ZIMS,0.0120,0.0129,1966.66,0,0,0,0,0,0,0,1678,1019,3,251
Macropus_rufus,Diprotodontia,23.81,44.71,34.26,529,825,,ZIMS,0.1007,0.1490,2275.31,0,0,0,0,0,0,0,931,524,14,139
Macroscelides_proboscideus,Macroscelidea,0.04,0.04,0.04,45,,,ZIMS,0.0000,0.0000,1135.71,1,1,0,0,0,0,0,432,310,0,27
Madoqua_kirkii,Artiodactyla,5.34,4.68,5.01,246,311,,ZIMS,0.0164,0.0098,2140.70,0,0,0,0,0,0,0,382,187,1,61
Mico_argentatus,Primates,0.38,0.36,0.37,311,342,,ZIMS,0.0357,0.0254,2689.83,0,0,0,0,0,0,0,203,97,1,28
Mico_melanurus,Primates,0.39,0.37,0.38,311,342,,ZIMS,0.0476,0.0364,2116.19,1,1,1,0,1,0,0,70,43,1,21
Microcebus_murinus,Primates,0.08,0.08,0.08,287,249,,ZIMS,0.1290,0.0654,2773.30,1,1,1,0,1,0,0,296,165,4,31
Mungos_mungo,Carnivora,1.65,1.54,1.60,315,,,ZIMS,0.0682,0.0224,2962.10,1,1,1,0,0,0,0,723,308,3,44
Muntiacus_muntjak,Artiodactyla,21.75,25.82,23.79,276,340,,ZIMS,0.0000,,4266.89,0,0,0,0,0,0,0,293,88,0,27
Muntiacus_reevesi,Artiodactyla,9.63,10.96,10.30,249,,,ZIMS,0.0097,0.0143,2857.87,0,0,0,0,0,0,0,778,401,1,103
Mustela_lutreola,Carnivora,0.72,1.09,0.91,317,331,,ZIMS,0.1538,0.1233,2261.92,1,1,1,0,1,0,1,373,117,6,39
Mustela_nigripes,Carnivora,0.83,1.02,0.92,374,374,,ZIMS,0.1111,0.0998,1471.50,1,0,1,0,0,0,1,309,182,5,45
Myocastor_coypus,Rodentia,5.23,5.86,5.54,158,156,374,ZIMS,0.0370,0.0305,951.73,0,0,0,0,0,0,0,280,234,1,27
